country,designation,points,price,province,region_1,region_2,variety,winery
Spain,Amandi,90,17,Galicia,Ribeira Sacra,,Mencía,Don Bernardino
Spain,Alfonso Oloroso Seco,90,26,Andalucia,Jerez,,Palomino,González Byass
US,Private Reserve,90,55,Idaho,,,Petite Sirah,Huston
Italy,Riserva,90,39,Tuscany,Chianti Classico,,Red Blend,Rignana
France,Coteaux,90,69,Rhône Valley,Cornas,,Syrah,Tardieu-Laurent
Italy,Vigneto Odoardo Beccari Riserva,90,30,Tuscany,Chianti Classico,,Red Blend,Vignavecchia
Italy,Poggio alle Mura,90,90,Tuscany,Brunello di Montalcino,,Sangiovese,Banfi
US,Estate Grown,90,60,California,Mount Veeder,Napa,Cabernet Sauvignon,Brandlin
Italy,,90,50,Tuscany,Brunello di Montalcino,,Sangiovese,Brunelli Martoccia
US,,90,40,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Canvasback
Italy,Riserva,90,100,Tuscany,Brunello di Montalcino,,Sangiovese,Capanne Ricci
France,,90,68,Burgundy,Chassagne-Montrachet,,Chardonnay,Chartron et Trébuchet
France,Les 7 Hommes,90,42,Loire Valley,Sancerre,,Sauvignon Blanc,Cherrier Frères
France,L'Inédit,90,28,Loire Valley,Coteaux du Giennois,,Pinot Noir,Clement et Florian Berthier
US,,90,18,California,Russian River Valley,Sonoma,Chardonnay,De Loach
US,Four Flags,90,69,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,DeLille
France,Le Pavé,90,,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Vacheron
US,Reserve,90,25,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank
US,Final Final,90,30,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon-Syrah,Efeste
Italy,Poggio Bestiale,90,60,Tuscany,Maremma Toscana,,Red Blend,Fattoria di Magliano
Argentina,The Apple Doesn't Fall Far From The Tree,91,30,Mendoza Province,Mendoza,,Malbec,Matias Riccitelli
Australia,,91,36,Victoria,Mornington Peninsula,,Pinot Noir,Moorooduc
Argentina,Alegoría Gran Reserva,91,25,Mendoza Province,Mendoza,,Malbec,Navarro Correas
France,L'Homme Mort Premier Cru,91,45,Burgundy,Chablis,,Chardonnay,Domaine Chenevières
Portugal,,91,23,Alentejano,,,Portuguese Red,Herdade do Rocim
US,Estate Select,91,36,California,Santa Clara Valley,Central Coast,Syrah,Jason-Stephens
France,Fourchaume Premier Cru,91,38,Burgundy,Chablis,,Chardonnay,Louis Max
US,Animo,91,85,California,Napa Valley,Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
US,Schindler Vineyard,91,50,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Panther Creek
US,Barrel Select,91,60,California,Rutherford,Napa,Cabernet Sauvignon,Provenance Vineyards
US,District Collection,91,85,California,St. Helena,Napa,Cabernet Sauvignon,Raymond
US,,91,45,California,Sonoma Coast,Sonoma,Pinot Noir,Red Car
Italy,Bussia Riserva,91,,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
US,,91,19,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Trinity Vineyards
Portugal,Premium,91,15,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
US,Premier Cuvée,91,54,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Archery Summit
France,Le Nombre d'Or Brut Nature,91,85,Champagne,Champagne,,Chardonnay,Aubry
US,Juliana Vineyard,91,38,California,Napa Valley,Napa,Sauvignon Blanc,B Cellars
US,,91,28,California,Napa Valley,Napa,Cabernet Sauvignon,B Side
Italy,Boscato,91,75,Piedmont,Barolo,,Nebbiolo,Bel Colle
US,Aeolian,91,42,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Bethel Heights
Israel,Reserve,91,25,Upper Galilee,,,Cabernet Sauvignon,Binyamina
Italy,Palliano Riserva,91,,Piedmont,Roero,,Nebbiolo,Ceste
Italy,del Comune di Serralunga d'Alba,91,59,Piedmont,Barolo,,Nebbiolo,Cascina Cucco
Italy,Bricco Luciani,91,85,Piedmont,Barolo,,Nebbiolo,Cascina del Monastero
Italy,Bricco Gattera,91,80,Piedmont,Barolo,,Nebbiolo,Cordero di Montezemolo
France,Montmains Premier Cru,91,45,Burgundy,Chablis,,Chardonnay,Domaine Gérard Duplessis
US,,91,22,California,Napa Valley,Napa,Cabernet Sauvignon,Eagle Glen
US,Bacigalupi Vineyard,91,65,California,Russian River Valley,Sonoma,Pinot Noir,Eleven Eleven
US,Magnificat,91,50,California,Napa Valley,Napa,Meritage,Franciscan
US,,86,10,California,California,California Other,Cabernet Sauvignon,Belle Ambiance
Portugal,Marquês de Marialva Rosé Bruto,86,12,Beira Atlantico,,,Baga,Adega de Cantanhede
Italy,Nature,86,22,Veneto,Prosecco,,Glera,De Stefani
US,Small Lot Blend,86,13,California,Mendocino County,Mendocino/Lake Counties,Chardonnay,Parducci
Portugal,Muros de Vinha,86,10,Douro,,,Portuguese Red,Quinta do Portal
France,Château Beauvillain-Monpezat,86,14,Southwest France,Cahors,,Malbec-Merlot,Rigal
US,,86,18,California,California,California Other,Chardonnay,The Naked Grape
US,,86,36,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Tin Barn
France,Pigmentum,86,15,Southwest France,Buzet,,Merlot-Malbec,Georges Vigouroux
France,Pigmentum,86,10,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux
US,,86,24,California,South Coast,South Coast,Viognier,Hawk Watch Winery
US,Stephanie,86,50,California,Napa Valley,Napa,Cabernet Sauvignon,Hestan
Italy,,86,45,Tuscany,Brunello di Montalcino,,Sangiovese,Il Grappolo
US,Bella's Blend,86,48,California,Knights Valley,Sonoma,Cabernet Sauvignon-Cabernet Franc,Ehret
US,Tears of Dew Late Harvest,86,20,California,Paso Robles,Central Coast,Moscato,EOS
US,Tudor Hills Vineyard,86,17,Washington,Yakima Valley,Columbia Valley,Pinot Grigio,Martinez & Martinez
US,,86,12,California,Lodi,Central Valley,Cabernet Franc,Ironstone
US,,86,10,California,California,California Other,Chardonnay,Leaping Horse
US,,86,13,California,California,California Other,White Blend,Kitchen Sink
US,Homestead Block,86,45,California,Napa Valley,Napa,Chardonnay,Kuleto Estate
Portugal,Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86,12,Tejo,,,Portuguese Red,Wines & Winemakers
Argentina,Terroir Único Pinot Noir,86,12,Mendoza Province,Tupungato,,Rosé,Zorzal
US,Limited Release Cold Springs Vineyard,86,125,California,Howell Mountain,Napa,Cabernet Sauvignon,Charles Krug
US,Castle Hill Vineyard,86,25,New York,Hudson River Region,New York Other,Riesling,Millbrook
South Africa,Circumstance,86,20,Stellenbosch,,,Sauvignon Blanc,Waterkloof
Argentina,Reserva,86,15,Mendoza Province,Valle de Uco,,Malbec,Viñalba
Spain,Dulce Tinto,86,,Levante,Jumilla,,Monastrell,Casa de la Ermita
France,,86,20,Southwest France,Gaillac,,Rosé,Château Clément Termes
France,Il est des nôôôtres!,86,15,Southwest France,,,Gamay,Château Coutinel
Portugal,Convento da Vila,86,7,Alentejano,,,Portuguese Red,Adega Cooperativa de Borba
US,The Flyer,91,59,California,Russian River Valley,Sonoma,Pinot Noir,MacPhail
US,Charles Vineyard Clone 05,91,49,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
US,Solomon Hills Vineyard Rosé,91,42,California,Santa Maria Valley,Central Coast,Sparkling Blend,Goat Bubbles
US,Paris Tasting Commemorative,91,93,California,Napa Valley,Napa,Chardonnay,Grgich Hills
US,Methode a l'Ancienne,91,32,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
US,,91,20,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
US,Grand Wren,90,100,California,Amador County,Sierra Foothills,Zinfandel,Renwood
US,Central Park West Vineyard,90,50,California,St. Helena,Napa,Cabernet Sauvignon,Trinchero
Spain,Arnegui Reserva,90,22,Northern Spain,Rioja,,Tempranillo,Pagos del Rey
Italy,Chianta Bianco,90,45,Sicily & Sardinia,Etna,,White Blend,Biondi
Italy,,90,18,Southern Italy,Greco di Tufo,,Greco,Cantine di Marzo
US,,90,45,California,Santa Lucia Highlands,Central Coast,Chardonnay,Alexander-Smith
US,Cooper Ranch,90,26,California,Amador County,Sierra Foothills,Barbera,Andis
US,,90,16,California,Sonoma County,Sonoma,Chardonnay,Benziger
US,Longwood,90,30,California,Napa Valley,Napa,Cabernet Sauvignon,Beaucanon
US,Estate,90,42,California,Adelaida District,Central Coast,Grenache,Brecon Estate
US,Mustang Springs,90,38,California,Adelaida District,Central Coast,Zinfandel,Peachy Canyon
US,SMC,90,48,California,California,California Other,Rhône-style Red Blend,Three
Spain,Crianza,90,17,Northern Spain,Rioja,,Tempranillo,Valdelacierva
France,Le,90,18,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,,Rosé,Château de Lancyre
France,,90,15,Bordeaux,Bordeaux Rosé,,Rosé,Château Suau
US,Rte Blanc,90,28,California,Napa Valley,Napa,Sauvignon Blanc,Clif Family
US,Hook Vineyard,90,25,California,Santa Lucia Highlands,Central Coast,Grenache,Santa Cruz Mountain Vineyard
US,,90,26,Oregon,Applegate Valley,Southern Oregon,Chardonnay,Schmidt
US,Jespersen Ranch,90,24,California,Edna Valley,Central Coast,Albariño,Stephen Ross
US,,90,55,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
US,Estate Grown,90,36,California,Napa Valley,Napa,Zinfandel,Grgich Hills
Spain,,90,17,Galicia,Rías Baixas,,Albariño,Mar de Viñas
US,,90,40,California,Sta. Rita Hills,Central Coast,Syrah,Kessler-Haak
US,,90,28,California,Ballard Canyon,Central Coast,Malvasia Bianca,Larner
US,,89,50,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Bomb
Greece,Kapnias,89,24,Atalanti Valley,,,White Blend,Hatzimichalis
Spain,Brut Reserva,89,17,Catalonia,Cava,,Sparkling Blend,Bohigas
Greece,,89,21,Santorini,,,Assyrtiko,Boutari
Greece,Axia Malagouzia,89,18,Florina,,,Malagouzia,Alpha Estate
Chile,Ecos de Rulo Single Vineyard El Chequén Estate,89,20,Marchigue,,,Carmenère,Viña Bisquertt
France,,89,20,Southwest France,Cahors,,Bordeaux-style Red Blend,Chateau Quattre
US,,89,24,Oregon,Rogue Valley,Southern Oregon,Sangiovese,Ledger David
Spain,Viña Real Gran Reserva,89,44,Northern Spain,Rioja,,Tempranillo,CVNE
Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,89,19,Colchagua Valley,,,Red Blend,Estampa
US,Range 30 West,89,42,California,Happy Canyon of Santa Barbara,Central Coast,Bordeaux-style Red Blend,Foxen 7200
US,,89,35,Oregon,Oregon,Oregon Other,Pinot Noir,Irvine Family Vineyards
Spain,Gaudium,89,44,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres
US,,89,16,California,Dunnigan Hills,Central Valley,Syrah,Matchbook
US,Mill Road Vineyard,89,23,California,Paso Robles,Central Coast,Viognier,Eberle
US,Freedom Hill Vineyard,89,36,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
Italy,Le Redini,89,25,Tuscany,Toscana,,Red Blend,Tenuta degli Dei
Italy,Il Guardiano,89,22,Tuscany,Toscana,,Red Blend,Poggio Mandorlo
Portugal,,89,20,Douro,,,Touriga Nacional,Quinta das Carvalhas
US,Del Arroyo Vineyard,89,25,California,Livermore Valley,Central Coast,Chardonnay,Occasio
US,,89,42,California,Sta. Rita Hills,Central Coast,Pinot Noir,Sanford
Chile,Family Collection,89,30,Curicó Valley,,,Cabernet Sauvignon-Cabernet Franc,Santa Alba
Greece,,89,17,Nemea,,,Agiorgitiko,Boutari
US,Charles Vineyard Clone O5,89,49,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
France,Héritages Elevé en Foudres de Chêne,89,16,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Ogier
Spain,Gran Bajoz,89,30,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
Italy,Palazzo Altesi,89,40,Tuscany,Toscana,,Sangiovese,Altesino
Italy,Il Borgo,89,57,Tuscany,Toscana,,Red Blend,Cabreo
US,Lot 525,89,29,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
Chile,Perla Negra,89,61,Maule Valley,,,Red Blend,Casa Donoso
US,,88,25,California,Sonoma Coast,Sonoma,Chardonnay,Rodney Strong
US,Estate Reserve,88,25,California,Paso Robles,Central Coast,Syrah,San Simeon
US,Sonatera Vineyard,88,49,California,Sonoma Coast,Sonoma,Pinot Noir,Siduri
US,Boushey Vineyard,88,20,Washington,Yakima Valley,Columbia Valley,Picpoul,Syncline
Argentina,Trinità Grand Reserve,88,26,Mendoza Province,Luján de Cuyo,,Bordeaux-style Red Blend,Piattelli
US,Entwined,88,34,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Pondera
US,French Camp Vineyard,88,38,California,Paso Robles,Central Coast,Zinfandel,Tobin James
US,French Camp Vineyard,88,38,California,Paso Robles,Central Coast,Zinfandel,Tobin James
Spain,Sobre Lías,88,25,Northern Spain,Valdeorras,,Godello,Valdesil
Spain,Negre,87,22,Catalonia,Montsant,,Red Blend,Jaspi
Argentina,Reserve,87,15,Mendoza Province,Tupungato,,Malbec,Tupun
France,,87,20,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Beauregard Lagupeau
France,,87,25,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château du Taillan
France,,87,20,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château la Haye
France,,87,20,Bordeaux,Fronsac,,Bordeaux-style Red Blend,Château Lalande Mausse
France,,87,25,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Magnol
US,,87,10,California,California,California Other,Chardonnay,Grand Pacific
US,Rosé of,87,18,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Hamilton
US,Ingle Vineyard Unoaked,87,18,New York,Finger Lakes,Finger Lakes,Chardonnay,Heron Hill
US,Semi-Dry,87,14,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
US,Semi-Dry,87,14,New York,Finger Lakes,Finger Lakes,Riesling,Fox Run
US,Ice Wine,87,40,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Glenora
France,,87,18,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Roc Taillade
France,,87,20,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Sénéjac
US,,87,10,Washington,Columbia Valley (WA),Columbia Valley,Gewürztraminer,Chateau Ste. Michelle
US,,87,11,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Castle Rock
US,,87,36,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Dussek Family Cellars
US,,87,20,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Serenity
US,Weinbau,87,32,Washington,Wahluke Slope,Columbia Valley,Grenache,Sol Stone
Spain,Yá Cuvée 23 Brut Rosé,87,18,Catalonia,Cava,,Sparkling Blend,Sumarroca
Portugal,Reserva,93,55,Douro,,,Portuguese Red,Poças
Italy,Nervo,93,49,Piedmont,Barbaresco,,Nebbiolo,Rizzi
US,Rocky Ridge Vineyard,93,50,California,Rockpile,Sonoma,Zinfandel,Robert Biale
Italy,Fausoni,93,58,Piedmont,Barbaresco,,Nebbiolo,Sottimano
France,Rosacker Grand Cru,93,39,Alsace,Alsace,,Riesling,Domaine Jean-Luc Mader
France,Clos Häuserer Wintzenheim,93,65,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
Morocco,Domaine Excelcio,93,35,Guerrouane,,,Syrah-Grenache,Bernard Magrez
Italy,,93,80,Piedmont,Barolo,,Nebbiolo,Borgogno
France,Pfingstberg Paradis Grand Cru,93,42,Alsace,Alsace,,Riesling,Domaine François Schmitt
France,Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61,Alsace,Alsace,,Riesling,Gustave Lorentz
US,Collaboration Series VI Ciel du Cheval Vineyard,93,58,Washington,Red Mountain,Columbia Valley,G-S-M,Force Majeure
US,Hastings Ranch Vineyard,93,38,California,Paso Robles,Central Coast,Mourvèdre,Anglim
France,Heissenberg,93,48,Alsace,Alsace,,Riesling,Domaine Ostertag
US,Stagecoach Vineyards The Biale Block,93,50,California,Napa Valley,Napa,Zinfandel,Robert Biale
Italy,Pajorè,93,58,Piedmont,Barbaresco,,Nebbiolo,Sottimano
France,,93,120,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Raymond-Lafon
US,Estate,93,50,California,Fort Ross-Seaview,Sonoma,Syrah,Red Car
US,Collaboration Series V Ciel du Cheval Vineyard,93,80,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Force Majeure
US,White Hawk Vineyard,93,40,California,Santa Barbara County,Central Coast,Syrah,Mulvane Wine Co.
Portugal,Quinta dos Quatro Ventos Reserva,93,41,Douro,,,Portuguese Red,Caves Aliança
US,Double Canyon Vineyard,93,48,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Double Canyon
US,Red Rock Terrace,93,200,California,Napa Valley,Napa,Cabernet Sauvignon,Diamond Creek
US,Ciel du Cheval Vineyard,93,39,Washington,Red Mountain,Columbia Valley,Petit Verdot,Côtes de Ciel
US,Kingpin,93,62,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Sparkman
Italy,,93,43,Piedmont,Barbaresco,,Nebbiolo,Punset
France,Domaine Saint-Rémy Schlosberg Grand Cru,92,35,Alsace,Alsace,,Riesling,Domaine Ehrhart
France,Pfersigberg Grand Cru,92,48,Alsace,Alsace,,Riesling,Domaine Zinck
France,Calcaire,92,55,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
Portugal,Dona Maria Reserva,92,40,Alentejano,,,Portuguese Red,Dona Maria-Júlio Bastos
Italy,Coste Rubin,92,69,Piedmont,Barbaresco,,Nebbiolo,Fontanafredda
France,,88,16,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Chantemerle
France,,88,16,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Chaubinet
France,,88,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Ferran
France,,88,15,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Fongalan
France,,88,13,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Mezain
US,,88,28,California,Carneros,Napa-Sonoma,Chardonnay,Clos du Val
US,Estate,88,36,Oregon,McMinnville,Willamette Valley,Pinot Noir,Coeur de Terre
Romania,La Umbra,88,9,Colinele Dobrogei,,,Rosé,Cramele Halewood
US,Limited Selection,88,24,California,Central Coast,Central Coast,Chardonnay,Daniel Gehrs
US,Cuvée Luke Saralee's Vineyard,88,30,California,Russian River Valley,Sonoma,Rhône-style White Blend,Davis Family
US,,88,25,California,Sonoma County,Sonoma,Merlot,Decoy
Italy,,88,34,Piedmont,Barolo,,Nebbiolo,Reversanti
US,Wits' End,88,60,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Roco
US,Toyon Farm,88,54,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
US,Early,88,15,Oregon,Willamette Valley,Willamette Valley,Muscat,Silvan Ridge
Italy,Bussia,88,56,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
US,Estate,88,20,California,Napa Valley,Napa,Sauvignon Blanc,St. Supéry
US,Guidotti Vineyard,88,61,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
Italy,,88,46,Piedmont,Barolo,,Nebbiolo,Trediberri
Spain,Prestigio,88,30,Northern Spain,Cigales,,Tempranillo,Val de Los Frailes
Spain,Crianza,88,17,Central Spain,La Mancha,,Tempranillo Blend,Yuntero
France,Noctambule,88,,Loire Valley,Crémant de Loire,,Chenin Blanc-Chardonnay,Musset-Roullier
US,Querida,88,40,California,Paso Robles,Central Coast,Cabernet Sauvignon-Merlot,Oso Libre
US,Primoroso,88,39,California,Paso Robles,Central Coast,Red Blend,Oso Libre
Italy,del Comune di Serralunga d'Alba,88,49,Piedmont,Barolo,,Nebbiolo,Palladino
France,Domaine de Saint-Pierre,88,23,Loire Valley,Sancerre,,Sauvignon Blanc,Pierre Prieur et Fils
US,,88,16,California,Monterey County,Central Coast,Pinot Grigio,Bargetto
US,Anna's Estate Vineyard,88,32,California,Paso Robles,Central Coast,Mourvèdre,Adelaida
US,,88,18,California,Santa Barbara County,Central Coast,Chardonnay,Alma Rosa
Argentina,Single Vineyard Reserva,88,15,Mendoza Province,Agrelo,,Cabernet Sauvignon,Lamadrid
France,Pertuisots Premier Cru,92,92,Burgundy,Beaune,,Pinot Noir,Domaine de Bellene
France,Clos du Cailleret Premier Cru,92,94,Burgundy,Chassagne-Montrachet,,Chardonnay,Domaine Vincent Girardin
US,Haynes Vineyard,92,58,California,Coombsville,Napa,Chardonnay,Failla
US,Suzuri Series Shake Ridge Ranch,92,50,California,Amador County,Sierra Foothills,Rhône-style Red Blend,Gallica
US,Vintage Brut,92,48,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
US,,92,32,California,Sonoma Coast,Sonoma,Pinot Noir,Les Voleurs
Italy,Sirmian,92,27,Northeastern Italy,Alto Adige,,Pinot Bianco,Nals Margreid
Portugal,Portal do Fidalgo,92,35,Vinho Verde,,,Alvarinho,Provam
Portugal,Mirabilis Grande Reserva,92,95,Douro,,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
US,Solomon Hills Vineyard,92,43,California,Santa Maria Valley,Central Coast,Pinot Noir,Ryan Cochrane
Italy,Monte Carbonare,92,33,Veneto,Soave Classico,,Garganega,Suavia
Italy,Quarz,92,60,Northeastern Italy,Alto Adige,,Sauvignon,Cantina Terlano
France,,92,,Southwest France,Cahors,,Malbec,Château du Cèdre
France,Réserve,92,30,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Haut Selve
US,Lampyridae Vineyards,92,100,California,Mount Veeder,Napa,Cabernet Sauvignon,Communication Block
US,Le Mistral Vineyard,92,35,California,Monterey County,Central Coast,Syrah,Baker & Brain
France,Les Charmes Dessus,91,60,Burgundy,Santenay,,Chardonnay,Domaine de Bellene
France,Cuvée Germain,91,16,Southwest France,Côtes du Tarn,,Bordeaux-style Red Blend,Domaine D'en Ségur
France,Quintessence,91,40,Burgundy,Pouilly-Fuissé,,Chardonnay,Domaine Sangouard-Guyot
US,Clay Court,91,60,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Elk Cove
France,,91,100,Burgundy,Clos de Vougeot,,Pinot Noir,Evening Land
Portugal,,91,18,Alentejano,,,Touriga Nacional,Herdade de São Miguel
US,,91,16,Oregon,Oregon,Oregon Other,Pinot Gris,Iris Vineyards
US,Kruse Vineyards,91,42,California,Paso Robles,Central Coast,Syrah,Jack Creek
France,Cami Salié,91,,Southwest France,Jurançon Sec,,Gros and Petit Manseng,Lionel Osmin & Cie
US,Rosé of,91,20,California,Napa Valley,Napa,Pinot Noir,Brick & Mortar
Italy,Prail,91,25,Northeastern Italy,Alto Adige,,Sauvignon,Colterenzio
Italy,Puiten,91,23,Northeastern Italy,Alto Adige,,Pinot Grigio,Colterenzio
US,Estate Grown,91,38,California,Carneros,Napa-Sonoma,Pinot Noir,Cuvaison
US,Nova Vineyard,91,32,California,Clear Lake,Mendocino/Lake Counties,Zinfandel,De Loach
US,The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
US,Estate Bottled,94,30,California,Napa Valley,Napa,Riesling,Smith-Madrone
Italy,Vigneto Monte Sant'Urbano,94,85,Veneto,Amarone della Valpolicella Classico,,Red Blend,Speri
US,White,94,30,California,Napa Valley,Napa,Riesling,Stony Hill
US,Sierra Madre Vineyard,94,65,California,Santa Maria Valley,Central Coast,Pinot Noir,Testarossa
